ID,CorrectNote,SelectedNote,PlayAgainCount,time,grouping,Notes,NotesIndex
,81,9,7,,Standard Tuning,,
,35,9,0,,Standard Tuning,,
,35,2,2,,Standard Tuning,,
,35,7,2,,Standard Tuning,,
,35,11,2,,Standard Tuning,,
,28,4,0,,Standard Tuning,,
,28,4,0,,Standard Tuning,,
,45,9,14,,Standard Tuning,,
,83,7,15,,Standard Tuning,,
,83,2,15,,Standard Tuning,,
,83,9,15,,Standard Tuning,,
,83,4,15,,Standard Tuning,,
,83,11,16,,Standard Tuning,,
,31,9,0,,Standard Tuning,,
,31,2,0,,Standard Tuning,,
,31,7,0,,Standard Tuning,,
,76,4,0,,Standard Tuning,,
,28,11,1,,Standard Tuning,,
,28,2,1,,Standard Tuning,,
,28,7,1,,Standard Tuning,,
,28,9,1,,Standard Tuning,,
,28,4,1,,Standard Tuning,,
,62,4,0,,Standard Tuning,,
,62,11,0,,Standard Tuning,,
,62,2,0,,Standard Tuning,,
,47,9,1,,Standard Tuning,,
,47,4,1,,Standard Tuning,,
,47,11,1,,Standard Tuning,,
,83,11,0,,Standard Tuning,,
,81,2,1,,Standard Tuning,,
,81,7,1,,Standard Tuning,,
,81,4,1,,Standard Tuning,,
,81,9,1,,Standard Tuning,,
,64,2,9,,Standard Tuning,,
,64,9,9,,Standard Tuning,,
,64,7,9,,Standard Tuning,,
,64,11,9,,Standard Tuning,,
,64,4,9,,Standard Tuning,,
,57,11,0,,Standard Tuning,,
,57,7,0,,Standard Tuning,,
,57,2,0,,Standard Tuning,,
,57,9,0,,Standard Tuning,,
,43,2,1,,Standard Tuning,,
,43,7,1,,Standard Tuning,,
,47,9,0,,Standard Tuning,,
,47,11,0,,Standard Tuning,,
,59,9,0,10/30/2023 19:28,Standard Tuning,,
,59,4,0,10/30/2023 19:28,Standard Tuning,,
,59,2,0,10/30/2023 19:28,Standard Tuning,,
,59,7,0,10/30/2023 19:28,Standard Tuning,,
,59,11,0,10/30/2023 19:28,Standard Tuning,,
,64,2,0,10/30/2023 19:28,Standard Tuning,,
,64,4,0,10/30/2023 19:28,Standard Tuning,,
,47,9,0,10/30/2023 19:28,Standard Tuning,,
,47,2,0,10/30/2023 19:28,Standard Tuning,,
,47,11,0,10/30/2023 19:28,Standard Tuning,,
,74,7,0,10/30/2023 19:28,Standard Tuning,,
,74,9,0,10/30/2023 19:28,Standard Tuning,,
,74,2,0,10/30/2023 19:28,Standard Tuning,,
,64,4,0,10/30/2023 19:28,Standard Tuning,,
,33,9,0,10/30/2023 19:28,Standard Tuning,,
,69,7,0,10/30/2023 19:28,Standard Tuning,,
,69,2,0,10/30/2023 19:28,Standard Tuning,,
,69,11,0,10/30/2023 19:28,Standard Tuning,,
,69,9,0,10/30/2023 19:28,Standard Tuning,,
,43,4,0,10/30/2023 19:28,Standard Tuning,,
,43,2,0,10/30/2023 19:28,Standard Tuning,,
,43,7,0,10/30/2023 19:28,Standard Tuning,,
,57,7,0,10/30/2023 19:28,Standard Tuning,,
,57,2,0,10/30/2023 19:28,Standard Tuning,,
,57,9,0,10/30/2023 19:28,Standard Tuning,,
,29,5,0,10/31/2023 09:17,Random2,"['F#', 'F']",
,41,6,0,10/31/2023 09:17,Random2,"['F#', 'F']",
,41,5,0,10/31/2023 09:17,Random2,"['F#', 'F']",
,65,5,0,10/31/2023 09:17,Random2,"['F#', 'F']",
,66,6,0,10/31/2023 09:17,Random2,"['F#', 'F']",
,44,8,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,68,2,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,68,8,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,68,8,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,62,8,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,62,2,0,10/31/2023 09:25,Random2,"['G#', 'D']","[8, 2]"
,40,8,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,40,9,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,40,4,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,81,2,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,81,9,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,62,8,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,62,9,0,10/31/2023 09:29,Random4,"['G#', 'A', 'E', 'D']","[8, 9, 4, 2]"
,49,3,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,49,2,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,49,1,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,27,3,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,57,9,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,75,9,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,75,2,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,75,1,0,11/1/2023 23:27,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,75,3,0,11/1/2023 23:28,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,73,3,0,11/1/2023 23:28,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,73,1,0,11/1/2023 23:28,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,73,1,0,11/1/2023 23:28,Random4,"['D#', 'A', 'C#', 'D']","[3, 9, 1, 2]"
,76,4,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,2,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,10,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,46,2,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,46,4,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,46,10,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,4,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,5,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,2,0,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,4,1,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,2,1,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,5,1,11/1/2023 23:34,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,2,7,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,10,7,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,40,5,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,40,4,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,2,2,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,4,2,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,5,2,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,5,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,4,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,4,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,2,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,10,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,5,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,52,4,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,76,4,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,10,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,2,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,5,1,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,62,2,0,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,10,3,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,2,3,11/1/2023 23:36,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,4,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,5,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,2,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,4,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,5,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,2,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,50,4,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,50,5,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,50,2,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,46,10,4,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,46,10,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,62,2,3,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,74,2,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,76,4,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,10,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,5,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,2,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,28,4,0,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,4,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,2,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,5,1,11/1/2023 23:37,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,40,10,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,40,2,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,40,4,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,52,4,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,76,4,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,62,4,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,62,2,0,11/1/2023 23:38,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,58,2,11,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,58,10,11,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,77,2,1,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,77,5,1,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,10,1,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,26,2,1,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,4,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,2,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,10,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,4,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,41,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,76,4,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,53,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,62,2,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,10,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,2,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,29,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,52,4,1,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,77,5,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,64,4,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,74,2,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,82,10,0,11/1/2023 23:39,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,5,2,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,2,1,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,10,1,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,77,5,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,2,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,4,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,5,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,70,10,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,65,5,0,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,4,3,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,38,2,3,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,4,22,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,5,22,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,34,10,22,11/1/2023 23:40,Random4,"['A#', 'D', 'E', 'F']","[10, 2, 4, 5]"
,72,0,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,52,11,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,52,8,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,52,4,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,28,4,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,48,11,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,48,0,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,59,8,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,59,11,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,32,8,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,36,0,1,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,64,4,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,64,4,0,11/2/2023 23:23,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,80,8,3,11/2/2023 23:24,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,60,0,1,11/2/2023 23:24,Random4,"['B', 'C', 'E', 'G#']","[11, 0, 4, 8]"
,45,11,3,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,8,4,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,10,4,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,9,4,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,34,10,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,11,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,11,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,81,8,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,81,9,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,56,10,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,56,8,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,9,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,10,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,8,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,8,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,46,9,0,11/5/2023 23:20,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,46,10,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,81,9,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,35,11,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,46,9,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,46,10,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,8,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,11,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,10,4,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,9,4,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,8,4,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,56,8,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,10,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,9,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,8,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,11,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,81,10,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,81,9,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,82,10,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,11,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,10,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,9,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,44,8,0,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,82,8,1,11/5/2023 23:21,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,82,10,4,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,11,1,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,8,1,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,9,1,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,47,11,0,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,83,11,0,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,68,10,0,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,68,9,0,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,68,8,0,11/5/2023 23:22,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,33,8,12,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,33,10,12,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,33,9,12,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,10,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,45,9,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,69,9,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,57,9,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,70,10,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
,34,10,0,11/5/2023 23:23,Random4,"['A', 'A#', 'B', 'G#']","[9, 10, 11, 8]"
