CorrectNote,SelectedNote,PlayAgainCount,time
32,4,7,56:36.1
32,5,7,56:36.9
32,6,7,56:37.8
32,7,7,56:38.4
32,3,7,56:39.6
32,2,7,56:40.1
32,1,7,56:40.6
32,9,12,57:08.8
32,11,12,57:10.9
32,8,12,57:12.6
27,0,8,58:28.3
27,2,8,58:29.6
27,4,8,58:30.4
27,5,8,58:30.8
27,7,8,58:31.6
27,9,8,58:32.3
27,11,8,58:32.9
27,1,9,58:35.5
27,3,9,58:36.2
77,5,5,59:29.5
62,2,10,00:13.6
82,8,1,00:26.2
82,6,1,00:28.1
82,10,1,00:29.0
60,2,2,00:45.0
60,3,2,00:45.7
60,0,2,00:46.6
79,9,0,00:53.1
79,8,0,00:53.9
79,11,0,00:55.1
79,10,0,00:56.3
79,7,0,00:57.3
56,9,21,02:15.8
56,10,21,02:17.0
56,11,21,02:17.8
56,7,21,02:20.6
56,8,21,02:21.3
26,2,3,02:35.7
24,0,1,02:46.6
55,9,13,05:04.1
55,8,13,05:05.3
55,10,13,05:06.0
55,11,13,05:06.5
55,7,13,05:07.4
79,7,1,05:13.3
77,4,1,05:17.2
77,5,1,05:18.5
47,2,0,05:25.2
47,3,0,05:25.9
47,1,0,05:26.3
47,0,0,05:26.7
47,4,0,05:27.4
47,5,0,05:28.0
47,11,0,05:29.4
79,5,0,05:33.8
79,4,0,05:34.4
79,6,0,05:35.2
79,2,0,05:36.3
79,0,0,05:36.9
79,1,0,05:37.5
79,3,0,05:37.9
79,7,0,05:38.6
29,0,3,05:48.8
29,1,3,05:49.6
29,2,3,05:50.3
29,3,3,05:50.8
29,7,4,05:53.2
29,8,4,05:53.8
29,9,4,05:54.1
29,10,4,05:54.5
29,11,4,05:54.8
29,6,4,05:55.5
29,5,4,05:55.8
46,4,0,05:56.1
46,0,3,07:16.5
46,2,3,07:17.5
46,9,3,07:18.7
46,11,3,07:19.4
46,7,3,07:20.3
46,5,3,07:21.0
46,1,3,07:22.4
46,10,3,07:23.5
51,11,0,07:28.2
51,0,0,07:29.3
51,1,0,07:29.9
51,2,0,07:30.6
51,3,0,07:31.1
71,4,3,07:38.3
71,5,3,07:39.6
71,10,4,07:45.1
71,9,6,08:20.0
71,11,6,08:23.0
50,0,2,08:30.1
50,1,2,08:31.3
50,2,2,08:32.4
68,4,1,08:35.9
68,5,2,08:37.8
68,6,2,08:40.0
68,8,2,08:41.0
38,11,16,09:09.2
38,4,16,09:11.2
38,5,16,09:11.7
38,8,17,09:15.4
38,7,17,09:16.1
38,6,17,09:16.7
38,9,17,09:17.4
38,10,17,09:18.1
38,0,17,09:19.9
38,2,17,09:21.0
28,10,20,10:01.2
28,0,21,10:03.4
28,11,21,10:04.3
28,4,23,10:28.1
37,0,11,10:59.0
37,11,11,11:00.2
37,10,11,11:01.4
37,9,11,11:02.1
37,8,11,11:02.7
37,7,11,11:03.5
37,6,11,11:04.2
37,5,11,11:04.8
37,4,11,11:05.4
37,3,11,11:06.0
37,2,11,11:06.6
37,1,11,11:07.6
28,4,0,11:10.3
45,7,3,12:09.4
45,8,4,12:11.2
45,3,7,12:32.6
45,2,7,12:35.6
45,0,7,12:40.2
45,5,7,12:49.0
45,6,7,12:53.0
45,9,7,12:56.2
66,4,1,12:59.5
66,5,2,13:01.7
66,7,4,13:09.5
66,9,4,13:10.5
66,8,4,13:11.2
66,6,4,13:11.8
70,4,0,13:16.8
70,8,0,13:17.8
70,9,0,13:18.1
70,10,0,13:18.5
43,0,9,13:57.0
43,1,10,14:00.1
43,2,10,14:02.2
43,6,10,14:03.0
43,5,10,14:03.6
43,7,10,14:04.6
26,8,0,14:04.9
26,7,1,14:12.1
26,6,1,14:12.7
26,5,1,14:13.4
26,4,1,14:14.2
26,3,1,14:15.1
26,2,1,14:15.7
60,5,5,14:29.4
60,6,5,14:30.1
60,7,5,14:30.6
60,8,5,14:31.1
60,4,5,14:31.9
60,9,5,14:32.8
60,10,5,14:33.5
60,3,5,14:34.6
60,2,5,14:35.3
60,1,5,14:35.9
60,0,5,14:38.7
70,4,0,14:40.5
70,5,0,14:41.2
70,6,0,14:41.7
70,7,0,14:42.2
70,8,0,14:42.6
70,9,0,14:43.0
70,10,0,14:43.4
41,11,0,14:43.6
41,0,1,14:49.5
41,6,1,14:59.5
41,2,2,15:06.6
41,3,2,15:08.5
41,5,2,15:09.9
76,4,0,15:11.6
45,9,3,15:28.5
45,9,0,15:30.8
42,6,4,15:40.8
33,9,0,15:52.5
64,4,0,16:02.5
60,3,1,16:14.9
60,2,1,16:15.6
60,1,1,16:16.2
60,0,1,16:16.8
37,2,1,32:26.1
37,3,1,33:26.2
37,0,1,33:27.6
37,1,1,33:30.0
44,6,0,33:49.6
44,5,0,33:50.9
44,7,0,33:52.1
44,8,0,33:52.9
66,4,0,34:06.4
66,5,0,34:08.1
66,8,0,34:09.4
66,9,0,34:10.4
66,10,0,34:12.2
66,11,0,34:14.2
66,0,0,34:15.4
66,1,0,34:16.3
66,2,0,34:16.9
66,3,0,34:17.7
66,6,0,34:20.4
56,4,0,34:22.3
56,5,0,34:24.5
56,2,0,34:27.0
56,0,0,34:27.7
56,7,0,34:28.9
56,9,0,34:30.1
56,8,0,34:31.1
61,10,1,34:37.4
61,9,1,34:38.0
61,11,1,34:38.7
61,0,1,34:40.2
61,1,1,34:40.9
54,4,0,34:46.2
54,5,0,34:47.0
54,3,0,34:47.8
54,2,0,34:48.4
54,6,0,34:49.6
32,8,0,34:52.3
81,4,4,35:04.7
81,5,4,35:05.9
81,3,5,35:08.3
81,2,5,35:08.8
81,1,5,35:09.4
81,0,5,35:09.8
81,9,5,35:14.0
34,1,8,36:35.4
34,0,8,36:36.1
34,2,8,36:36.7
34,3,8,36:37.4
34,11,8,36:38.6
34,10,8,36:39.1
66,5,3,36:49.5
66,6,3,36:50.2
53,3,0,36:54.7
53,2,0,36:55.4
53,1,0,36:55.9
53,0,0,36:56.4
53,8,0,36:58.4
53,6,0,36:59.2
53,5,0,36:59.7
46,2,13,38:04.1
46,1,13,38:04.7
46,3,13,38:05.3
46,0,13,38:06.0
46,11,13,38:07.3
46,10,13,38:07.7
55,4,1,38:11.0
55,5,1,38:12.0
55,6,1,38:12.6
55,7,1,38:13.1
46,10,0,38:14.9
64,4,4,38:25.2
26,7,31,41:19.5
26,9,31,41:20.4
26,11,31,41:21.5
26,0,31,41:24.1
26,2,31,41:25.2
65,4,0,41:27.8
65,5,0,41:29.1
51,4,0,41:31.3
51,3,0,41:32.0
76,4,1,41:35.4
72,1,1,41:40.9
72,2,1,41:41.4
72,0,1,41:42.2
63,4,0,41:44.0
63,5,0,41:45.1
63,3,0,41:45.7
64,5,0,41:48.2
64,4,0,41:48.7
71,6,0,41:52.0
71,7,0,41:52.7
71,8,0,41:53.4
71,9,0,41:54.0
71,10,0,41:54.5
71,11,0,41:55.1
78,6,0,42:01.3
34,10,5,42:24.0
79,8,2,42:47.3
79,7,2,42:47.8
44,10,10,44:35.7
44,9,10,44:36.4
44,2,10,44:43.5
44,3,10,44:44.1
44,1,10,44:44.8
44,0,10,44:45.5
44,8,10,44:47.0
73,8,1,44:53.2
73,9,1,44:53.8
73,10,1,44:54.3
73,11,1,44:54.9
73,0,1,44:55.9
73,1,1,44:56.5
61,1,0,44:58.6
50,7,0,45:05.6
50,6,0,45:06.4
50,9,0,45:07.3
50,8,0,45:07.9
50,5,0,45:08.8
50,4,0,45:09.4
50,3,0,45:09.9
50,2,0,45:10.3
76,4,0,45:11.9
71,2,1,45:19.3
71,3,1,45:20.5
71,1,1,45:21.2
71,0,1,45:21.9
71,11,1,45:23.0
60,4,0,45:24.6
60,5,0,45:25.8
60,3,0,45:26.5
60,2,0,45:27.1
60,0,0,45:27.8
49,0,1,45:37.9
49,11,4,45:47.8
49,10,4,45:48.7
49,1,4,45:49.8
76,4,0,45:51.3
44,4,0,45:53.2
44,3,0,45:55.8
44,2,0,45:56.3
44,1,0,45:56.6
44,0,0,45:57.0
44,11,0,46:00.7
44,10,0,46:01.4
44,9,0,46:02.0
44,8,0,46:02.9
67,8,0,46:06.6
67,7,0,46:07.3
27,9,6,48:54.2
27,10,6,48:55.3
27,11,6,48:55.7
27,0,6,48:56.5
27,1,6,48:57.3
27,2,6,48:57.9
27,3,6,48:58.4
62,4,0,48:59.8
62,5,0,49:00.7
62,6,0,49:01.2
62,7,0,49:01.9
62,3,1,49:14.1
62,2,1,49:14.8
45,8,2,49:27.3
45,7,2,49:27.8
45,6,2,49:28.5
45,5,2,49:29.2
45,3,2,49:30.1
45,2,2,49:30.5
45,1,2,49:31.0
45,0,2,49:31.5
45,11,2,49:32.6
45,10,2,49:33.2
45,9,2,49:34.4
73,4,0,49:36.0
73,5,1,49:38.3
73,1,1,49:46.2
55,0,2,49:52.8
55,11,2,49:54.1
55,10,2,49:55.0
55,9,2,49:55.3
55,8,2,49:55.7
55,7,2,49:56.5
30,4,1,17:58.9
30,3,5,22:47.2
30,2,5,22:48.6
30,1,6,22:51.4
30,5,6,22:52.8
30,6,7,23:15.7
73,9,0,23:25.8
73,8,0,23:26.4
73,7,0,23:26.8
73,10,0,23:27.8
73,11,0,23:30.1
73,0,0,23:31.1
73,1,0,23:31.7
38,2,0,23:37.5
31,9,0,23:46.1
31,10,0,23:46.7
31,11,0,23:47.2
31,8,0,23:47.8
31,0,0,23:49.0
31,1,0,23:49.5
31,7,0,23:50.7
36,9,0,23:53.0
36,10,0,23:53.6
36,11,0,23:54.1
36,0,0,23:55.1
41,2,0,23:57.3
41,1,0,23:57.9
41,3,0,23:59.0
41,4,0,23:59.6
41,0,0,24:01.2
41,10,0,24:02.5
41,9,0,24:03.0
41,7,0,24:04.6
41,6,0,24:05.2
41,5,0,24:06.0
79,4,0,24:07.8
79,7,0,24:18.3
83,7,0,24:20.0
83,8,0,24:20.9
83,9,0,24:21.5
83,10,0,24:22.2
83,11,0,24:22.7
64,4,0,24:24.4
56,1,1,24:32.6
56,3,1,24:33.2
56,2,1,24:34.3
56,0,1,24:35.0
56,11,1,24:36.2
56,10,1,24:36.6
56,9,1,24:37.0
56,4,1,24:37.9
56,5,1,24:38.5
56,8,1,24:39.3
72,7,0,24:49.6
72,3,2,25:03.4
72,2,2,25:04.0
72,1,2,25:04.5
72,0,2,25:05.0
30,1,1,25:13.5
30,6,1,25:15.0
74,2,1,25:19.8
36,5,6,25:35.4
36,6,6,25:35.9
36,7,7,25:37.2
36,8,7,25:37.7
36,9,9,25:42.2
36,10,9,25:42.7
36,1,9,25:44.2
36,0,9,25:44.9
25,10,0,25:49.8
25,11,0,25:50.1
25,9,0,25:50.6
25,8,0,25:51.1
25,0,0,25:52.0
25,1,0,25:52.4
51,4,1,25:55.1
51,5,1,25:55.9
51,2,2,25:58.0
51,1,2,25:58.5
51,3,2,25:59.4
66,6,13,26:25.5
48,2,2,26:40.0
48,1,2,26:40.7
48,3,2,26:41.3
48,0,2,26:42.1
27,7,16,27:17.7
27,5,17,27:22.5
27,6,17,27:22.8
27,3,19,27:26.1
67,5,7,27:37.2
67,4,7,27:38.0
67,6,7,27:38.7
67,7,7,27:39.7
53,5,1,27:43.4
28,4,27,28:39.3
67,4,2,28:43.3
67,5,2,28:44.3
67,6,2,28:44.7
67,7,2,28:45.3
61,0,18,29:23.3
61,1,18,29:23.8
24,7,18,30:16.7
24,8,18,30:17.4
24,10,18,30:18.6
24,9,18,30:19.0
24,0,19,30:21.6
48,0,0,30:24.2
37,11,0,30:28.7
37,10,0,30:29.6
37,1,0,30:30.8
43,2,0,30:36.9
43,3,0,30:37.6
43,4,0,30:38.4
43,1,0,30:39.2
43,5,0,30:39.8
43,6,0,30:40.4
43,7,0,30:40.9
49,8,2,30:47.6
49,7,2,30:48.5
49,10,2,30:51.2
49,9,2,30:51.7
49,11,2,30:52.3
49,0,2,30:53.5
49,1,2,30:54.4
57,6,1,30:58.3
57,5,1,30:58.9
57,4,1,31:00.0
57,3,1,31:00.7
57,2,1,31:01.2
57,1,1,31:01.8
57,0,1,31:02.3
57,8,1,31:03.4
57,9,1,31:04.1
72,10,1,31:08.1
72,11,1,31:08.6
72,9,1,31:09.3
72,0,1,31:10.2
77,2,1,31:14.7
77,1,1,31:15.3
77,3,1,31:15.9
77,0,1,31:16.4
77,5,1,31:17.9
57,0,0,31:19.5
57,11,0,31:21.3
57,10,0,31:21.6
57,9,0,31:22.0
24,0,1,31:27.3
53,4,1,31:33.3
53,2,1,31:33.8
53,5,1,31:34.9
76,4,1,31:38.2
30,9,22,31:55.2
30,10,22,31:55.6
30,8,22,31:56.2
30,7,22,31:56.8
30,6,22,31:57.3
80,4,1,31:59.5
80,6,1,32:00.1
80,5,1,32:00.6
80,7,1,32:01.3
80,8,1,32:01.9
48,7,1,32:05.3
48,6,1,32:05.7
48,5,1,32:06.4
48,4,1,32:07.1
48,3,1,32:07.6
48,2,1,32:08.1
48,1,1,32:08.6
48,8,1,32:09.5
48,9,1,32:09.9
48,10,1,32:10.3
48,11,1,32:12.8
48,0,1,32:13.9
60,0,0,32:15.1
63,5,9,32:59.3
63,6,9,32:59.9
63,7,9,33:00.4
63,8,9,33:00.9
63,9,9,33:01.3
63,10,9,33:01.7
63,11,9,33:02.0
63,0,9,33:03.2
63,1,9,33:03.5
63,2,9,33:04.1
63,3,9,33:04.5
41,4,1,33:09.0
41,3,1,33:09.3
41,5,1,33:10.1
64,6,0,33:10.4
64,4,0,33:11.5
76,4,1,33:16.3
83,4,7,33:48.5
83,5,7,33:49.2
83,6,7,33:49.7
83,7,7,33:50.2
83,9,7,33:51.2
83,11,7,33:51.8
36,0,0,33:54.5
68,3,1,33:59.5
68,5,1,34:00.2
68,6,1,34:00.6
68,4,1,34:01.4
68,7,1,34:01.9
68,8,1,34:02.4
41,2,0,34:04.4
41,1,0,34:05.1
41,3,0,34:05.8
41,4,0,34:06.2
41,5,0,34:06.6
60,4,1,34:09.1
60,5,1,34:09.7
60,7,1,34:10.7
60,8,1,34:11.2
60,9,1,34:11.7
60,10,1,34:12.1
60,11,1,34:12.5
60,0,1,34:13.2
40,4,2,34:19.8
46,9,2,34:32.0
46,8,2,34:33.1
46,10,2,34:33.5
65,4,3,34:38.6
65,5,3,34:39.1
58,3,1,34:48.8
58,2,1,34:49.3
58,1,1,34:49.9
58,0,1,34:50.5
58,11,1,34:51.3
58,10,1,34:51.6
32,9,0,34:51.9
32,5,4,35:05.0
32,4,4,35:06.0
32,6,4,35:06.9
32,7,4,35:07.5
32,8,4,35:07.9
82,7,1,35:12.8
82,6,1,35:13.4
82,8,1,35:13.9
82,9,1,35:14.3
82,10,1,35:14.8
81,8,0,35:17.9
81,10,0,35:19.1
81,9,0,35:19.7
69,4,0,35:22.0
69,5,0,35:23.0
69,3,0,35:23.7
69,2,0,35:24.2
69,7,0,35:24.9
69,6,0,35:25.3
69,8,0,35:25.8
69,9,0,35:26.3
37,0,2,31:56.2
37,2,3,32:08.0
37,1,3,32:09.9
59,9,8,32:30.7
59,10,8,32:31.4
59,11,8,32:32.0
40,11,1,32:41.6
40,10,1,32:42.0
40,9,1,32:42.6
40,8,1,32:43.0
40,7,1,32:43.7
40,6,1,32:44.1
40,5,1,32:44.4
40,4,1,32:45.2
32,2,2,32:49.9
32,0,2,32:50.6
32,11,2,32:52.0
32,1,2,32:53.5
32,3,2,32:54.0
32,4,2,32:54.5
32,5,2,32:55.1
32,6,3,32:56.5
32,7,3,32:57.8
32,9,3,32:59.5
32,10,3,33:00.7
32,8,3,33:23.3
62,1,7,33:42.9
62,2,7,33:43.4
52,4,0,33:45.2
54,4,6,34:00.5
54,5,6,34:01.6
54,6,6,34:02.7
75,11,5,34:35.1
75,0,5,34:37.5
75,9,5,34:40.4
75,10,5,34:40.8
75,8,5,34:41.5
75,7,5,34:42.2
75,6,5,34:42.8
75,5,5,34:43.4
75,1,5,34:44.4
75,2,5,34:45.1
75,3,5,34:45.9
56,4,0,34:48.1
56,5,1,34:50.5
56,6,1,34:51.6
56,3,1,34:52.4
56,2,1,34:52.7
56,1,1,34:53.3
56,0,1,34:53.7
56,7,1,34:54.6
56,8,1,34:55.3
83,10,16,35:32.8
83,11,16,35:33.2
36,7,2,35:46.9
36,1,2,35:47.9
36,2,2,35:48.3
36,5,2,35:49.5
36,4,2,35:50.0
36,9,2,35:51.0
36,11,2,35:51.6
36,10,2,35:52.0
36,8,2,35:52.5
36,6,2,35:53.4
36,0,2,35:54.4
63,4,0,35:55.7
63,5,0,35:56.5
63,3,0,35:57.1
60,2,0,35:57.5
60,1,1,36:02.1
60,0,1,36:02.9
83,3,1,36:06.3
83,7,1,36:07.5
83,8,1,36:08.5
83,4,1,36:09.5
83,6,1,36:09.8
83,5,1,36:10.3
83,2,1,36:11.0
83,1,1,36:11.4
83,0,1,36:11.7
83,9,1,36:12.7
83,10,1,36:13.5
83,11,1,36:14.2
52,4,1,36:17.2
24,0,20,36:55.8
31,3,15,37:19.2
31,2,15,37:19.7
31,1,15,37:20.2
31,7,15,37:21.9
62,4,0,37:23.7
62,3,1,37:25.5
62,2,1,37:25.9
42,8,12,37:52.4
42,6,12,37:53.1
57,7,7,38:07.2
57,9,7,38:08.2
35,10,14,38:48.2
35,9,14,38:49.1
35,11,14,38:49.8
24,11,2,38:59.2
24,2,2,39:01.1
24,0,2,39:01.8
66,5,3,39:12.8
66,6,3,39:13.3
76,4,4,39:24.4
47,9,4,39:38.8
47,10,4,39:39.4
47,8,4,39:40.0
47,11,4,39:40.6
41,1,0,39:50.5
41,4,0,39:51.4
41,3,0,39:52.0
41,6,0,39:53.0
41,8,0,39:53.6
41,10,0,39:54.2
41,9,0,39:56.9
41,7,0,39:58.0
41,5,0,39:58.8
39,4,0,40:00.9
39,3,0,40:01.6
52,4,0,40:03.3
78,5,2,40:11.1
78,3,2,40:12.0
78,2,2,40:12.5
78,1,2,40:13.2
78,0,2,40:13.7
78,7,2,40:14.3
78,6,2,40:14.7
39,8,0,40:15.1
39,6,0,40:15.8
39,5,1,40:17.5
39,4,1,40:18.1
39,3,1,40:18.8
44,6,3,46:39.2
44,7,3,46:41.2
44,8,3,46:42.3
50,9,0,46:48.2
50,10,0,46:48.5
50,11,0,46:48.9
50,0,0,46:49.9
50,1,0,46:50.3
50,2,0,46:50.6
74,2,0,46:52.4
47,0,0,46:55.8
47,10,0,46:58.5
47,11,0,46:59.1
70,6,0,47:02.4
70,5,0,47:02.9
70,7,0,47:03.3
70,4,0,47:03.9
70,8,0,47:04.8
70,9,0,47:05.3
70,10,0,47:05.8
71,0,0,47:09.4
71,2,0,47:10.1
71,1,0,47:10.6
71,3,0,47:11.4
71,11,0,47:12.7
61,2,1,12:46.3
61,3,1,12:47.1
61,1,1,12:47.8
58,11,0,12:56.7
58,10,0,12:57.5
76,4,0,12:59.1
67,7,7,13:24.4
71,4,5,13:34.9
71,5,5,13:35.7
71,3,5,13:36.4
71,2,5,13:36.9
71,6,5,13:37.4
71,7,5,13:38.1
71,9,5,13:38.6
71,8,5,13:39.1
71,10,5,13:39.5
71,11,5,13:40.0
29,9,20,14:19.9
29,8,20,14:20.6
29,7,20,14:21.1
29,6,20,14:21.5
29,5,20,14:21.9
81,7,1,14:27.4
81,8,1,14:28.2
81,9,1,14:28.7
44,6,17,14:51.0
44,5,17,14:51.5
44,1,18,14:53.8
44,11,18,14:58.9
44,9,18,14:59.8
44,10,18,15:00.4
44,8,18,15:01.2
31,11,1,15:06.8
31,0,1,15:08.5
31,1,1,15:09.2
31,2,1,15:09.8
31,3,1,15:10.6
31,5,1,15:11.3
31,6,1,15:11.9
31,7,1,15:12.4
38,1,11,15:37.6
38,2,11,15:38.1
67,9,8,16:02.2
67,10,8,16:02.6
67,11,8,16:02.9
67,8,8,16:03.5
67,0,8,16:04.4
67,1,8,16:04.9
67,2,8,16:05.4
67,3,8,16:05.9
67,5,8,16:06.6
67,6,8,16:07.1
67,7,8,16:07.5
53,0,18,16:36.9
53,1,18,16:37.4
53,2,18,16:37.7
53,3,18,16:38.2
53,5,18,16:39.3
61,4,9,17:17.1
61,6,9,17:24.0
61,5,9,17:24.6
61,8,9,17:25.0
61,7,9,17:25.5
61,9,9,17:26.1
61,10,9,17:26.6
61,11,9,17:27.1
61,0,9,17:28.1
61,1,9,17:28.6
33,0,0,17:32.3
33,2,0,17:32.7
33,9,0,17:37.5
27,0,23,18:50.2
27,1,23,18:50.5
27,11,23,18:51.5
27,10,23,18:52.4
27,9,23,18:52.9
27,8,23,18:53.5
27,7,23,18:54.0
27,6,23,18:54.6
27,5,23,18:55.4
27,3,23,18:56.1
39,2,0,19:01.9
39,1,0,19:02.3
39,0,0,19:02.8
39,11,0,19:03.7
39,10,0,19:04.0
39,9,0,19:04.4
39,8,0,19:04.8
39,7,0,19:05.3
39,6,0,19:05.8
39,5,0,19:06.4
39,3,0,19:07.2
59,4,2,19:15.0
59,2,2,19:15.7
59,6,2,19:16.5
59,7,2,19:16.9
59,5,2,19:17.4
59,8,2,19:18.0
59,9,2,19:18.4
59,11,2,19:18.9
79,7,1,19:24.2
37,3,4,19:35.1
37,2,4,19:35.6
37,1,4,19:36.2
53,4,6,19:48.2
53,5,6,19:48.8
26,5,1,19:55.1
26,6,1,19:55.7
